Month,Year,Vol,Name,Work,Thlr.,Gr.,Repeat,FullName,Birth,Death
October,1798,1.02,Augustin,Favoritwalzer nach dem Böhmischen.,0,3,No,Augustin,,
October,1798,1.02,"Backofen, H.","Sonate pour la Harpe à crochets, avec accompagnement d’un Violon.",0,12,No,"Backofen, Johann Georg Heinrich",1768,1839
October,1798,1.02,"Backofen, H.",Recueil p. la Harpe à croch. Cah. 1.,0,16,No,"Backofen, Johann Georg Heinrich",1768,1839
October,1798,1.02,"Banck, J. C. H.",sechs Lieder fürs Klavier.,0,8,No,"Banck, J. C. H.",,
October,1798,1.02,Barmann,Trois Duos pour deux Flûtes. Op. 2.,0,16,No,"Barmann, Johann Friedrich",,
October,1798,1.02,Belleval,Trio pour la Harpe avec accompagnement de Viol. et Vlle.,1,0,No,"Belleval, Karl",,
October,1798,1.02,Christmanns,Oden und Lieder f. das Klavier.,0,20,No,"Christmann, Johann Friedrich",1752,1817
October,1798,1.02,"Conrad’s, J. G.",zwölf leichte Vorspiele für Anfänger im Orgelspielen.,0,6,No,"Conrad, J. G.",,
October,1798,1.02,"Delver, Fr.","Sonate p. le Pianoforte ou Clavecin, avec accomp. d’un Violon, composée de divers thêmes favoris des deux Opéras: la Fête du Soleil des Bramins, et le Mariage de Figaro.",0,16,No,"Delver, Friedrich",,
October,1798,1.02,"Durand, A. F.",Trois Duos pour deux Violons concertans. Oeuv. 2. Liv. I.,1,8,No,"Duranowski, August",1770,1834
October,1798,1.02,"Durand, A. F.",Trois Thêmes variés p. le Viol. et Violonc. Op. 4.,0,16,No,"Duranowski, August",1770,1834
October,1798,1.02,Eidenbenz,leichte Klavierstücke.,0,8,No,"Eidenbenz, Johann Christian Gottlob",1761,1799
October,1798,1.02,Eidenbenz,12 Lieder mit Begl. des Klaviers.,0,16,No,"Eidenbenz, Johann Christian Gottlob",1761,1799
October,1798,1.02,"Fleischmann, F.",Melodieen auf einige Lieder von der regierenden Fürstin von Neuwied.,0,12,No,"Fleischmann, Friedrich",1766,1798
October,1798,1.02,Gabler,"der Pilger am Jordan, mit Begleitung des Klaviers.",0,12,No,"Gabler, Christoph August",1767,1839
October,1798,1.02,Günther,"zwölf Anglaisen in 3/8 Takt, in 7stimmiger Musik mit Touren und deren Erklärung.",1,0,No,"Günther, S.",,
October,1798,1.02,"Haydn, Joseph",Sonate p. le Clavecin av. un Viol. et Vlle. Op. 88.,1,0,No,"Haydn, Joseph",1732,1809
October,1798,1.02,"Haydn, Joseph",Sonate pour le Clavecin ou Pianof. Op. 89.,0,12,No,"Haydn, Joseph",1732,1809
October,1798,1.02,Hellwigs,deutsche Lieder am Klavier zu singen.,0,16,No,"Hellwig, Karl Ludwig",1773,1838
October,1798,1.02,"Kellner, J. G.","Marsch der Leibgerde zu Hessen-Cassel, mit Variationen für das Pianoforte.",0,4,No,"Kellner, Johann Christoph",1736,1803
October,1798,1.02,"Knecht, J. H.","Orgelschule für Anfänger und Geübtere, 3te Abtheilung",4,0,No,"Knecht, Justin Heinrich",1752,1817
October,1798,1.02,Köhlers,VI Duos p. deux Flûtes. Op. IX.,0,18,No,"Köhler, Gottlieb Heinrich",1765,1833
October,1798,1.02,"Lodi, L.",La Morte di Mozart. Sinfonia per il Pianof. Op. 27.,0,8,No,"Lodi, L.",,
October,1798,1.02,"Lodi, L.",Capriccio per il Pianof. Op. XVI.,0,12,No,"Lodi, L.",,
October,1798,1.02,"Lodi, L.",Sonate per il Pianof. Op. XVIII.,0,16,No,"Lodi, L.",,
October,1798,1.02,Maizier,musikalische Bagatellen fürs Klavier. 1s Heft.,0,12,No,"Maizier, Karl Wilhelm",,
October,1798,1.02,,"Marche du Général Buonaparté, variée p. le Pianof., par A. E. Müller. Op. 15.",0,12,No,,,
October,1798,1.02,Mezger,"12 petites pièces p. le Pianoforte, d’une difficulté progressive, composées à l’usage des commençans.",0,8,No,"Mezger, Franz",,
October,1798,1.02,Mezger,3 Sonates faciles p. le Pianof.,0,16,No,"Mezger, Franz",,
October,1798,1.02,"Mozart, W. A.",Hymne: Gottheit über alle mächtig etc. mit Begleitung der Klaviers.,0,16,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,"Müller, A. E.",5 Sonatines progressives pour le Pianoforte. Op. 18. ts.,0,16,No,"Müller, August Eberhard",1767,1817
November,1798,1.03,Pleyel,"Neueste Sammlung leichter Klavierstücke, 1te Sammlung. ts.",0,16,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Cetius,"Lob der Liebe, für das Klavier oder Fortepiano. va.",0,3,No,Cetius,,
November,1798,1.03,Emmert und Hacker,"Lieder fürs Klavier, aus den Blüthen und Früchten vom Jahre 1798. Herausgegeben von Wismayer. va.",0,4,No,"Emmert, Johann Joseph",1732,1809
November,1798,1.03,Naurmann,Canto de’ Pellegrini dell’ istesso oratorio aggiustato per l’Arpa o Cembalo. hr.,0,8,No,"Naumann, Johann Gottlieb",1741,1801
November,1798,1.03,Lorenz,Ode an die Nachtigall von Herrn Dr. Kosegarten. rb.,0,8,No,Lorenz,,
November,1798,1.03,Lorenz,"Sinna und Selmar, eine Romanze von Kosegarten. rb.",1,0,No,Lorenz,,
November,1798,1.03,Lauska,Andante con Variazioni. rb.,0,4,No,"Lauska, Franz",1764,1825
November,1798,1.03,Dritter,"Marsch des General Buonaparte, und Preußischer Regiments Hops- oder Quickmarsch fürs Pianoforte. rb.",0,2,No,Dritter,,
November,1798,1.03,Mozart,"Lieder, die zu späte Ankunft der Mutter etc. No. 12 und 13. rb.",0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,Am Grabe meines Vaters etc. No. 15. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 18–20. rb.,0,8,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 21. rb.,0,8,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 22–25. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 26–28. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 29–31. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 32–35. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,Sämmtliche Lieder und Gesänge beym Klavier. rb.,3,0,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,Nachgelassene Lieder und Gesänge beym Klavier. rb.,0,16,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Salieri,Bravour-Arie aus Palmira: Du bist für mich gebohren etc. No. 6. rb.,0,12,No,"Salieri, Antonio",1750,1825
November,1798,1.03,Himmel,"deutsches Lied, Seiner Majestät dem König Friedrich Wilhelm dem Dritten zu Dero hohen Geburtsfeyer am dritten Aug. 1798. rb.",0,4,No,"Himmel, Friedrich Heinrich",1765,1814
November,1798,1.03,Himmel,"Wiegenlied von Herklots, Ihro Majestät der regierenden Königin von Preußen bey Gelegenheit Höchat Dero glucklichen Entbindung am 24. July 1798. rb.",0,4,No,"Himmel, Friedrich Heinrich",1765,1814
November,1798,1.03,Salieri,"Ouverture, Favoritgesänge und Märsche aus der Oper Palmira, rb.",1,0,No,"Salieri, Antonio",1750,1825
November,1798,1.03,,Journal des deutschen Theatergesanges. 8s und 9s Heft. rb. à,0,10,No,,,
November,1798,1.03,,Journal des deutschen Theatergesanges. 8s und 9s Heft. rb. à,0,10,No,,,
November,1798,1.03,Sachini,"Ouverture, Ballets et Airs choisis de l’opéra Oedipe à Colone. rb.",1,8,No,"Sacchini, Antonio",1730,1786
November,1798,1.03,Sachini,"Arie aus detto. No. 11 u. 12, rb.",0,2,No,"Sacchini, Antonio",1730,1786
November,1798,1.03,,Favoritgesänge aus verschiedenen Opern für 2 Flöten oder Violinen eingerichtet. rb.,0,16,No,,,
November,1798,1.03,Berwald,"Trois Polonoises pour le Fortepiano, deux avec l’accompagnement d’un Violon. Op. 1. rb.",0,8,No,"Berwald, Johan Fredrik",1787,1861
November,1798,1.03,,Polonoise und Duett ans Lodoiska. rb.,0,9,No,,,
